token,allocated
10,2305.9
20,2313.9
30,2322.0
40,2330.2
50,2338.4
60,2346.6
70,2354.8
80,2361.8
90,2369.8
100,2377.7
110,2385.7
120,2393.7
130,2401.9
140,2410.1
150,2418.3
160,2426.5
170,2433.6
180,2441.6
190,2449.6
200,2457.6
210,2465.6
220,2473.6
230,2481.8
240,2490.0
250,2499.4
260,2508.6
270,2516.0
280,2524.1
290,2531.0
300,2538.6
310,2546.1
320,2553.7
330,2562.6
340,2570.7
350,2578.0
360,2587.1
370,2593.6
380,2601.6
390,2609.7
400,2617.2
410,2625.2
420,2633.8
430,2641.6
440,2649.7
450,2657.9
460,2666.1
470,2673.4
480,2681.1
490,2689.1
500,2697.1
510,2705.9
520,2713.3
530,2721.5
540,2729.6
550,2737.8
560,2746.0
570,2753.0
580,2760.9
590,2768.9
600,2776.9
610,2784.9
620,2793.1
630,2801.6
640,2809.6
650,2817.7
660,2824.8
670,2832.8
680,2840.8
690,2848.8